English,Tamil
It is dark outside,வெளியே இருட்டாக இருக்கிறது
Having heard it so many times I can recite the poem by heart now,எத்தனையோ தடவை கேட்ட எனக்கு இப்போது கவிதையை மனப்பாடம் செய்ய முடிகிறது
Give me your money,உங்கள் பணத்தை என்னிடம் கொடுங்கள்
I am wondering if I could be of any service to you,நான் உங்களுக்கு ஏதாவது சேவை செய்ய முடியுமா என்று யோசிக்கிறேன்
Whats the weight of your suitcase,உங்கள் சூட்கேஸின் எடை என்ன
We can say that Japan was fighting a constant battle against hunger during the war,போரின் போது ஜப்பான் பசிக்கு எதிராக தொடர்ந்து போராடி வந்தது என்று சொல்லலாம்
You can rely on her,நீங்கள் அவளை நம்பலாம்
The manager has put him back in the major league,மேலாளர் அவரை மீண்டும் பெரிய லீக்கில் சேர்த்துள்ளார்
The chairman suggested that we should discuss the problem,பிரச்னை குறித்து விவாதிக்க வேண்டும் என தலைவர் பரிந்துரைத்தார்
You are too much letterbound,நீங்கள் மிகவும் கடிதம் கட்டப்பட்டிருக்கிறீர்கள்
A bad workman complains about his tools,ஒரு மோசமான தொழிலாளி தனது கருவிகளைப் பற்றி புகார் கூறுகிறார்
We are all in agreement,நாங்கள் அனைவரும் உடன்படுகிறோம்
A cloud passed across the moon,ஒரு மேகம் நிலவின் குறுக்கே சென்றது
Meetings are to be held on the afternoon of July 15 Tuesday all day July 16 Wednesday and the morning of July 17 Thursday,ஜூலை 15 செவ்வாய்கிழமை மதியம் ஜூலை 16 புதன்கிழமை நாள் முழுவதும் மற்றும் ஜூலை 17 ஆம் தேதி காலை வியாழக்கிழமை கூட்டங்கள் நடைபெற உள்ளன
Class doesnt begin until eightthirty,எட்டரை மணி வரை வகுப்பு தொடங்குவதில்லை
Hes not working much at the moment,அவர் தற்போது அதிகம் வேலை செய்யவில்லை
Can you get at the meaning of this passage,இந்த பத்தியின் அர்த்தத்தை உங்களால் புரிந்து கொள்ள முடியுமா
The generous dentist contributed some two billion yen to charity,தாராளமான பல் மருத்துவர் சுமார் இரண்டு பில்லியன் யென்களை தொண்டுக்கு வழங்கினார்
Your suggestion came up at the meeting,உங்கள் ஆலோசனை கூட்டத்தில் வந்தது
The day before yesterday you impressed everyone but I already knew you,நேற்று முன் தினம் நீங்கள் அனைவரையும் கவர்ந்தீர்கள் ஆனால் நான் உங்களை ஏற்கனவே அறிவேன்
You ought to have adopted his plan,நீங்கள் அவருடைய திட்டத்தை ஏற்றுக்கொண்டிருக்க வேண்டும்
The meeting was all but over,கூட்டம் எல்லாம் முடிந்து விட்டது
Help yourself to anything you like,நீங்கள் விரும்பும் எதற்கும் உதவுங்கள்
Im very impressed with your quality control,உங்கள் தரக் கட்டுப்பாட்டில் நான் மிகவும் ஈர்க்கப்பட்டேன்
We are all eager for him to win the Nobel prize,அவர் நோபல் பரிசை வெல்ல வேண்டும் என்று நாங்கள் அனைவரும் ஆவலுடன் இருக்கிறோம்
You shouldnt do such a thing,நீங்கள் அப்படி ஒரு செயலைச் செய்யக்கூடாது
As I left the house I remembered the key,நான் வீட்டை விட்டு வெளியேறும்போது சாவியின் ஞாபகம் வந்தது
I must offer you an apology for coming late,தாமதமாக வந்ததற்கு நான் உங்களிடம் மன்னிப்பு கேட்க வேண்டும்
We thought much of his first novel,அவருடைய முதல் நாவலைப் பற்றி அதிகம் யோசித்தோம்
We crept toward the enemy,நாங்கள் எதிரியை நோக்கி நகர்ந்தோம்
Is the Ginza the busiest street in Japan,ஜின்சா ஜப்பானில் மிகவும் பரபரப்பான தெருவா
She is mad at me,அவள் என் மீது கோபமாக இருக்கிறாள்
He says want when he wants something and no when he does not,அவர் எதையாவது விரும்பும்போது வேண்டும் என்றும் அவர் விரும்பாதபோது இல்லை என்றும் கூறுகிறார்
Flowers are always acceptable,மலர்கள் எப்போதும் ஏற்றுக்கொள்ளத்தக்கவை
Ill lend you my notebook,எனது நோட்புக்கை உங்களுக்குக் கடனாகத் தருகிறேன்
Can you account for all the money you spent,நீங்கள் செலவழித்த அனைத்து பணத்திற்கும் கணக்கு காட்ட முடியுமா
Ill give you a call before I visit you,நான் உங்களைச் சந்திக்கும் முன் உங்களுக்கு அழைப்பு விடுக்கிறேன்
Here is our answer to your fax message dated April 1st,ஏப்ரல் 1 தேதியிட்ட உங்கள் தொலைநகல் செய்திக்கான எங்கள் பதில் இதோ
Your answer is anything but perfect,உங்கள் பதில் எதுவாக இருந்தாலும் சரியானது
Dont be late for school,பள்ளிக்கு தாமதமாக வராதீர்கள்
To be an interesting person you have to feed and exercise your mind,ஒரு சுவாரஸ்யமான நபராக இருக்க நீங்கள் உங்கள் மனதிற்கு உணவளித்து உடற்பயிற்சி செய்ய வேண்டும்
You worked a lot this week,இந்த வாரம் நீங்கள் நிறைய வேலை செய்தீர்கள்
Something bad may happen to him,அவருக்கு ஏதாவது கெட்டது நடக்கலாம்
If it had not been for your raincoat I would have been drenched to the skin,உங்கள் ரெயின்கோட் இல்லையென்றால் நான் தோலில் நனைந்திருப்பேன்
We communicated with each other by gesture,சைகை மூலம் ஒருவருக்கொருவர் தொடர்பு கொண்டோம்
I hope I can manage to make both ends meet,இரு முனைகளையும் என்னால் சந்திக்க முடியும் என்று நம்புகிறேன்
You have to eat nutritious foods,சத்துள்ள உணவுகளை உண்ண வேண்டும்
It is good to have ideals dont you think,இலட்சியங்கள் இருப்பது நல்லது நினைக்கவில்லையா
No matter what you do do your best,நீங்கள் என்ன செய்தாலும் உங்களால் முடிந்ததைச் செய்யுங்கள்
Give me the bill please,பில்லைக் கொடுங்கள்
I would like to consider the implications we can draw from the application of Emmets theory to chemistry,எம்மெட்டின் கோட்பாட்டின் பயன்பாட்டில் இருந்து வேதியியலுக்கு நாம் பெறக்கூடிய தாக்கங்களை நான் பரிசீலிக்க விரும்புகிறேன்
The whole neighborhood mourned his death,அவரது மறைவுக்கு அக்கம் பக்கத்தினர் துக்கம் அனுசரித்தனர்
Id like to discuss the following at the meeting,கூட்டத்தில் பின்வருவனவற்றை விவாதிக்க விரும்புகிறேன்
The fire was extinguished at once,உடனே தீ அணைக்கப்பட்டது
Twothirds of the students came to the meeting,கூட்டத்திற்கு மூன்றில் இரண்டு பங்கு மாணவர்கள் வந்தனர்
You may swim,நீங்கள் நீந்தலாம்
The meeting has been put off until next week,கூட்டம் அடுத்த வாரத்திற்கு ஒத்திவைக்கப்பட்டுள்ளது
Study the student more,மாணவனை அதிகம் படிக்கவும்
Kanji are difficult to read,காஞ்சி படிக்க கடினமாக உள்ளது
His argument is more radical than yours,அவருடைய வாதம் உங்களுடையதை விட தீவிரமானது
Ill do my best not to disturb your studying,உன்னுடைய படிப்புக்கு இடையூறு ஏற்படாமல் இருக்க என்னால் முடிந்த அனைத்தையும் செய்வேன்
There may be some truth in your story,உங்கள் கதையில் உண்மை இருக்கலாம்
Now youve come of age you have the right to vote,இப்போது நீங்கள் வயதுக்கு வந்துவிட்டீர்கள் உங்களுக்கு வாக்களிக்கும் உரிமை உள்ளது
Scientists can easily compute the distance between planets,விஞ்ஞானிகள் கிரகங்களுக்கு இடையிலான தூரத்தை எளிதாகக் கணக்கிட முடியும்
You may use my new car,எனது புதிய காரை நீங்கள் பயன்படுத்தலாம்
How tall are you,நீங்கள் எவ்வளவு உயரமாக இருக்கிறீர்கள்
Few people visit me these days,இந்த நாட்களில் என்னைப் பார்ப்பவர்கள் குறைவு
Do you know kabuki,உங்களுக்கு கபுகி தெரியுமா
The victim of blackmail has been paying hush money for years but now he realizes it is foolish and has decided not to pay a red cent more,பிளாக்மெயிலுக்கு ஆளானவர் பல ஆண்டுகளாக ஹஷ் பணத்தை செலுத்தி வருகிறார் ஆனால் இப்போது அது முட்டாள்தனம் என்பதை உணர்ந்து மேலும் ஒரு செண்ட் பணம் செலுத்த வேண்டாம் என்று முடிவு செய்துள்ளார்
The teachers are trying to motivate their students,ஆசிரியர்கள் தங்கள் மாணவர்களை ஊக்குவிக்க முயற்சிக்கின்றனர்
Blossoms have come out on the embankment,கரையில் பூக்கள் வெளிவந்துள்ளன
Lets get discount tickets,தள்ளுபடி டிக்கெட்டுகளைப் பெறுவோம்
Crying is an expression of grief,அழுகை என்பது துயரத்தின் வெளிப்பாடு
There are innumerable stars in the galaxy,விண்மீன் மண்டலத்தில் எண்ணற்ற நட்சத்திரங்கள் உள்ளன
What do you say to taking a walk by the seaside,கடலோரத்தில் நடந்து செல்வதற்கு நீங்கள் என்ன சொல்கிறீர்கள்
Hatred is never appeased by hatred in this world,இவ்வுலகில் வெறுப்பினால் வெறுப்பு தணியாது
Their cattle are all fat,அவர்களின் கால்நடைகள் அனைத்தும் கொழுத்தவை
I dont have the strength to keep trying,தொடர்ந்து முயற்சி செய்ய எனக்கு சக்தி இல்லை
The school adopted the new method of teaching English,பள்ளி ஆங்கிலம் கற்பிக்கும் புதிய முறையை ஏற்றுக்கொண்டது
We went to court when they refused to pay for the damage,அவர்கள் நஷ்ட ஈடு தர மறுத்ததால் நாங்கள் நீதிமன்றத்தை நாடினோம்
When he writes English he often consults the dictionary,அவர் ஆங்கிலம் எழுதும்போது அடிக்கடி அகராதியை ஆலோசிப்பார்
Many members dropped out of the club when the dues were raised,நிலுவைத் தொகை உயர்த்தப்பட்டபோது பல உறுப்பினர்கள் கிளப்பில் இருந்து வெளியேறினர்
It is no inconvenience to drive you home,உங்களை வீட்டிற்கு ஓட்டுவதில் சிரமம் இல்லை
We headed for the mountain cottage,மலைக் குடிசைக்குச் சென்றோம்
Thank you very much for coming all the way to see me,என்னைப் பார்க்க எல்லா வழிகளிலும் வந்ததற்கு மிக்க நன்றி
Guests arrived by twos and threes,விருந்தினர்கள் இருவர் மற்றும் மூன்று பேர் வந்தனர்
What will you have to eat,நீங்கள் என்ன சாப்பிட வேண்டும்
I found myself lying in my bedroom,நான் என் படுக்கையறையில் படுத்திருந்தேன்
Japanese tourists abroad are big spenders,வெளிநாடுகளில் உள்ள ஜப்பானிய சுற்றுலாப் பயணிகள் அதிக செலவு செய்பவர்கள்
Your answer is wrong,உங்கள் பதில் தவறு
What You ate my chocolate bear,என்ன என் சாக்லேட் கரடியை சாப்பிட்டாயா
Your poor memory is due to poor listening habits,கேட்கும் பழக்கம் குறைவாக இருப்பதால் உங்கள் நினைவாற்றல் குறைவு
The clock that got broken must be repaired right away,பழுதடைந்த கடிகாரத்தை உடனடியாக சரி செய்ய வேண்டும்
Some of the students like to play the guitar,சில மாணவர்கள் கிட்டார் வாசிக்க விரும்புகிறார்கள்
Mr Yoshida is too severe with his children,திரு யோஷிடா தனது குழந்தைகளுடன் மிகவும் கடுமையானவர்
May I present this to you in token of my appreciation,எனது பாராட்டுக்கு அடையாளமாக இதை உங்களுக்கு வழங்கலாமா
The rescued refugees were longing for freedom,மீட்கப்பட்ட அகதிகள் விடுதலைக்காக ஏங்கிக்கொண்டிருந்தனர்
Correct errors if any,பிழைகள் இருந்தால் திருத்தவும்
We admit that he is a man of ability,அவர் திறமையானவர் என்பதை ஒப்புக்கொள்கிறோம்
He was a benevolent old man who volunteered to mow his neighbors lawns for free,அவர் ஒரு கருணையுள்ள முதியவர் அவர் தனது அண்டை வீட்டாரின் புல்வெளிகளை இலவசமாக வெட்ட முன்வந்தார்
Scientists say many factors bring about changes in weather,பல காரணிகள் வானிலையில் மாற்றங்களை ஏற்படுத்துகின்றன என்று விஞ்ஞானிகள் கூறுகின்றனர்
Dont scare me like that,என்னை அப்படி பயமுறுத்தாதே
The station is not far from here,நிலையம் இங்கிருந்து வெகு தொலைவில் இல்லை
I am against using death as a punishment I am also against using it as a reward,மரணத்தை தண்டனையாக பயன்படுத்துவதை நான் எதிர்க்கிறேன் அதை வெகுமதியாகப் பயன்படுத்துவதையும் நான் எதிர்க்கிறேன்
Was Ms Kato your teacher last year,கடந்த ஆண்டு திருமதி கேட்டோ உங்கள் ஆசிரியரா
Waves of joy drift through my opened heart,என் திறந்த இதயத்தில் மகிழ்ச்சி அலைகள் அலைகின்றன
No problem at all,பிரச்சனையே இல்லை
Well borrow some money on the house,வீட்டில் கொஞ்சம் கடன் வாங்குவோம்
Nowadays we are apt to forget the benefits of nature,இன்று நாம் இயற்கையின் நன்மைகளை மறந்து விடுகிறோம்
Ill act on your advice,உங்கள் ஆலோசனைப்படி செயல்படுகிறேன்
In case of fire dial 119,தீ ஏற்பட்டால் 119 ஐ அழைக்கவும்
How about going to the movies,திரைப்படங்களுக்குச் செல்வது எப்படி
Im tickled pink about winning 10000 yen at the horse races,குதிரைப் பந்தயத்தில் 10000 யென் வென்றதற்காக நான் இளஞ்சிவப்பு நிறத்தில் இருக்கிறேன்
The cause of the fire is not known,தீ விபத்துக்கான காரணம் தெரியவில்லை
Mountains in the ocean and even whole ranges are still being discovered and most of them have not yet been explored in detail,கடலில் உள்ள மலைகள் மற்றும் முழு வீச்சுகளும் கூட இன்னும் கண்டுபிடிக்கப்பட்டு வருகின்றன அவற்றில் பெரும்பாலானவை இன்னும் விரிவாக ஆராயப்படவில்லை
You have no business complaining about the matter,இந்த விஷயத்தைப் பற்றி புகார் செய்ய உங்களுக்கு எந்த வேலையும் இல்லை
Dont be afraid of making mistakes when you speak English,நீங்கள் ஆங்கிலத்தில் பேசும்போது தவறு செய்ய பயப்பட வேண்டாம்
I envy you your luck,உங்கள் அதிர்ஷ்டத்தை நான் பொறாமைப்படுகிறேன்
The fire broke out toward midnight,நள்ளிரவில் தீ விபத்து ஏற்பட்டது
Im thinking of visiting you one of these days,இந்த நாட்களில் ஒருமுறை உங்களைச் சந்திக்கலாம் என்று நினைக்கிறேன்
Do you believe war will start,போர் தொடங்கும் என்று நம்புகிறீர்களா
We waited up for him until two oclock and then finally went to bed,நாங்கள் அவருக்காக இரண்டு மணி வரை காத்திருந்தோம் பின்னர் படுக்கைக்குச் சென்றோம்
The revolution has brought about many changes,புரட்சி பல மாற்றங்களை கொண்டு வந்துள்ளது
I have to give myself up to study for my final exams,எனது இறுதித் தேர்வுகளுக்குப் படிக்க நான் என்னைக் கொடுக்க வேண்டும்
We found the beds quite comfortable,படுக்கைகள் மிகவும் வசதியாக இருப்பதைக் கண்டோம்
To master English is difficult,ஆங்கிலத்தில் தேர்ச்சி பெறுவது கடினம்
Look at that picture on the desk,மேசையில் இருக்கும் படத்தைப் பாருங்கள்
Dont worry about it,அதைப் பற்றி கவலைப்படாதே
In terms of salary that job is fantastic,சம்பளத்தைப் பொறுத்தவரை அந்த வேலை அற்புதமானது
Give me time to give you everything I have,என்னிடம் உள்ள அனைத்தையும் உங்களுக்கு வழங்க எனக்கு நேரம் கொடுங்கள்
It is refreshing to take a shower after exercising,உடற்பயிற்சி செய்துவிட்டு குளிப்பது புத்துணர்ச்சி தரும்
I can only wait,என்னால் காத்திருக்க மட்டுமே முடியும்
Its high time you got going,நீங்கள் செல்ல வேண்டிய நேரம் இது
Would you like to drink anything,நீங்கள் ஏதாவது குடிக்க விரும்புகிறீர்களா
We take oil for granted,நாங்கள் எண்ணெயை சாதாரணமாக எடுத்துக்கொள்கிறோம்
Twenty people perished in the blaze,இந்த தீ விபத்தில் 20 பேர் பலியாகினர்
We took turns driving the car,வண்டியை மாறி மாறி ஓட்டினோம்
Im sick Will you send for a doctor,எனக்கு உடம்பு சரியில்லை டாக்டரிடம் அனுப்புவீர்களா
Hunger drove him to steal,பசி அவனைத் திருடத் தூண்டியது
Mr Yoshida is at home in French history,பிரெஞ்சு வரலாற்றில் திரு யோஷிடா வீட்டில் இருக்கிறார்
Students are supposed to study hard,மாணவர்கள் கடினமாகப் படிக்க வேண்டும்
What shall I do for you,நான் உனக்கு என்ன செய்வேன்
The house was carried away by the flood,வீடு வெள்ளத்தில் அடித்துச் செல்லப்பட்டது
I was too surprised to speak,நான் பேசுவதற்கு மிகவும் ஆச்சரியமாக இருந்தது
That wont change anything,அது எதையும் மாற்றாது
We retire at eleven oclock,பதினோரு மணிக்கு ஓய்வு பெறுகிறோம்
That is somewhat explained at the end,இது இறுதியில் ஓரளவு விளக்கப்பட்டுள்ளது
Some people like the sea others prefer the mountains,சிலருக்கு கடல் பிடிக்கும் மற்றவர்கள் மலைகளை விரும்புகிறார்கள்
As you make your bed you must lie on it,நீங்கள் உங்கள் படுக்கையை உருவாக்கும் போது நீங்கள் அதன் மீது படுக்க வேண்டும்
It could have been minutes or even hours before Dr Numata came in to feel Sadakos head,சடகோவின் தலையை உணர்ந்த டாக்டர் நுமாதா உள்ளே வர சில நிமிடங்கள் அல்லது மணிநேரம் கூட ஆகியிருக்கலாம்
The clouds are breaking,மேகங்கள் உடைகின்றன
We passed through a town at night,நாங்கள் இரவில் ஒரு நகரத்தை கடந்து சென்றோம்
Pull your car out a bit I cant back my car out,உங்கள் காரை கொஞ்சம் வெளியே இழுக்கவும் என்னால் எனது காரை வெளியே எடுக்க முடியாது
Our total debts amount to ten thousand dollars,எங்களின் மொத்தக் கடன்கள் பத்தாயிரம் டாலர்கள்
Hard work has brought him where he is,கடின உழைப்பு அவரை இருக்கும் இடத்திற்கு கொண்டு சென்றது
Give me something to drink,எனக்கு குடிக்க ஏதாவது கொடுங்கள்
We need a new leader to pull our company together,எங்கள் நிறுவனத்தை ஒன்றிணைக்க எங்களுக்கு ஒரு புதிய தலைவர் தேவை
The speaker swaggered into the lecture hall,பேச்சாளர் விரிவுரை மண்டபத்திற்குள் நுழைந்தார்
I will do it on condition that I am paid,எனக்கு ஊதியம் வழங்க வேண்டும் என்ற நிபந்தனையுடன் அதைச் செய்வேன்
The office for disease control reported a 10 percent spread,நோய் கட்டுப்பாட்டு அலுவலகம் 10 சதவிகிதம் பரவியதாக அறிவித்தது
Being only a student I cant afford to get married,நான் ஒரு மாணவன் என்பதால் என்னால் திருமணம் செய்து கொள்ள முடியவில்லை
The fire went out by itself,தீ தானே அணைந்தது
Justice is expensive,நீதி விலை உயர்ந்தது
Chestnuts have to be boiled for at least fifteen minutes,கஷ்கொட்டை குறைந்தது பதினைந்து நிமிடங்கள் வேகவைக்கப்பட வேண்டும்
This will cost 30,இதற்கு 30 செலவாகும்
She is probably over forty,அவளுக்கு நாற்பதுக்கு மேல் இருக்கலாம்
He couldnt be good for you,அவர் உங்களுக்கு நல்லவராக இருக்க முடியாது
Are you having a good time,உங்களுக்கு நல்ல நேரம் இருக்கிறதா
Im looking for a bank Is there one near here,நான் ஒரு வங்கியைத் தேடுகிறேன் இங்கே அருகில் ஏதாவது இருக்கிறதா
Im glad to see you,உங்களைப் பார்த்ததில் மகிழ்ச்சி
The building on the hill is our school,மலையில் உள்ள கட்டிடம் எங்கள் பள்ளி
Sadly many people will believe things told to them via an email which they would find implausible facetoface,துரதிர்ஷ்டவசமாக பலர் தங்களுக்கு மின்னஞ்சல் மூலம் சொல்லப்பட்ட விஷயங்களை நம்புவார்கள் அது அவர்கள் நம்பமுடியாத நேருக்கு நேர் காணலாம்
Salt helps to preserve food from decay,உணவுப் பொருட்களை அழுகாமல் பாதுகாக்க உப்பு உதவுகிறது
Science has brought about many changes to our lives,விஞ்ஞானம் நம் வாழ்வில் பல மாற்றங்களை கொண்டு வந்துள்ளது
Would you give me some travel brochures from your country,உங்கள் நாட்டிலிருந்து சில பயணச் சிற்றேடுகளை எனக்குத் தருவீர்களா
We captured the thief,திருடனைப் பிடித்தோம்
A nurse took my temperature,ஒரு செவிலியர் என் வெப்பநிலையை எடுத்தார்
What you did brought disgrace on the whole class,நீங்கள் செய்தது ஒட்டுமொத்த வகுப்பினருக்கும் அவப்பெயரை ஏற்படுத்தியது
It being cold we made a fire,குளிர்ச்சியாக இருந்ததால் நாங்கள் தீ வைத்தோம்
Do you sometimes go abroad on your holidays,நீங்கள் எப்போதாவது உங்கள் விடுமுறை நாட்களில் வெளிநாடு செல்வீர்களா
Cant you do something to help me,எனக்கு ஏதாவது உதவி செய்ய முடியாதா
The rescue worker searched the area looking for the child,மீட்புப் பணியாளர்கள் அப்பகுதியில் தேடி குழந்தையை தேடினர்
The girl who I thought was a singer proved to be a different person,நான் பாடகி என்று நினைத்த அந்த பெண் வேறு ஆள் என்பதை நிரூபித்தார்
What other options do I have,எனக்கு வேறு என்ன விருப்பங்கள் உள்ளன
Hows your wife,உங்கள் மனைவி எப்படி இருக்கிறார்
As I reached the station I got off the bus,நிலையத்தை அடைந்ததும் பேருந்தை விட்டு இறங்கினேன்
I still cant get the knack of English pronunciation,எனக்கு இன்னும் ஆங்கில உச்சரிப்புத் திறமை வரவில்லை
The meeting finished at nine,கூட்டம் ஒன்பது மணிக்கு முடிந்தது
Destiny is sometimes cruel,விதி சில நேரங்களில் கொடூரமானது
Cutting school is the first stage of delinquency,பள்ளிக்கூடத்தை வெட்டுவது குற்றத்தின் முதல் கட்டம்
To my joy my daughter passed the examination,என் மகள் தேர்வில் தேர்ச்சி பெற்றாள்
The cold wind cut me to the bone,குளிர் காற்று என்னை எலும்பில் வெட்டியது
We were surprised at the news,செய்தி கண்டு வியந்தோம்
We named my son after my grandfather,என் மகனுக்கு என் தாத்தாவின் பெயரை வைத்தோம்
It is important to try to get along with people from foreign countries,வெளிநாட்டில் இருந்து வருபவர்களுடன் பழக முயற்சி செய்வது அவசியம்
We have not kept pace with the latest research,சமீபத்திய ஆராய்ச்சியுடன் நாங்கள் வேகத்தை வைத்திருக்கவில்லை
A castle stands a little way up the hill,மலைக்கு சற்றுத் தொலைவில் ஒரு கோட்டை நிற்கிறது
Will you lend me your dictionary,உங்கள் அகராதியை எனக்குக் கொடுப்பீர்களா
There are certainly inequalities in level of education even within a single generation but there have been no visible inequities between machines and materials in recent years,ஒரு தலைமுறையினருக்குள் கூட கல்வி மட்டத்தில் நிச்சயமாக ஏற்றத்தாழ்வுகள் உள்ளன ஆனால் சமீபத்திய ஆண்டுகளில் இயந்திரங்களுக்கும் பொருட்களுக்கும் இடையில் காணக்கூடிய ஏற்றத்தாழ்வுகள் எதுவும் இல்லை
We often eat fish raw,மீன்களை பச்சையாக சாப்பிடுவோம்
Will you drink wine instead of milk,பாலுக்கு பதிலாக ஒயின் குடிப்பீர்களா
Mr Kondo is the most hardworking in his company,திரு கோண்டோ தனது நிறுவனத்தில் மிகவும் கடின உழைப்பாளி
The band played for the visiting monarch,வருகை தந்த மன்னருக்காக இசைக்குழு இசைத்தது
What did you come here so early for,எதற்காக இவ்வளவு சீக்கிரம் இங்கு வந்தாய்
You should have refused his offer,அவருடைய வாய்ப்பை நீங்கள் மறுத்திருக்க வேண்டும்
Im getting ready for the worst,நான் மோசமான நிலைக்கு தயாராகி வருகிறேன்
You should be friendly rather than stubborn,நீங்கள் பிடிவாதமாக இருப்பதை விட நட்பாக இருக்க வேண்டும்
We should stick to our plan,நாம் நமது திட்டத்தில் உறுதியாக இருக்க வேண்டும்
All of us want prices to decline,நாம் அனைவரும் விலை குறைய வேண்டும் என்று விரும்புகிறோம்
I couldve met you at the airport,நான் உங்களை விமான நிலையத்தில் சந்தித்திருக்கலாம்
Meeting my old friend was very pleasant,எனது பழைய நண்பரை சந்தித்தது மிகவும் மகிழ்ச்சியாக இருந்தது
Many plants and crops grow here thanks to the mild climate,மிதமான காலநிலை காரணமாக இங்கு பல தாவரங்களும் பயிர்களும் வளர்கின்றன
May I accompany you to the airport,நான் உங்களுடன் விமான நிலையத்திற்கு வரலாமா
Did you call me up last night,நேற்றிரவு நீங்கள் என்னை அழைத்தீர்களா
I wish you had told me the truth,நீங்கள் என்னிடம் உண்மையைச் சொன்னீர்கள் என்று நான் விரும்புகிறேன்
Everybody wished he had been elected governor,அவர் கவர்னராக தேர்ந்தெடுக்கப்பட்டிருக்க வேண்டும் என அனைவரும் விரும்பினர்
He told me to wash my face,முகத்தைக் கழுவச் சொன்னார்
I think it necessary for you to study harder,நீங்கள் கடினமாகப் படிப்பது அவசியம் என்று நினைக்கிறேன்
You will derive great benefits from learning English,ஆங்கிலம் கற்றுக்கொள்வதன் மூலம் பெரும் பலன்களைப் பெறுவீர்கள்
The picture looks better at a distance,படம் தூரத்தில் நன்றாக தெரிகிறது
The volcano has become active again,எரிமலை மீண்டும் செயல்பட்டது
School has closed for the Christmas holidays,கிறிஸ்துமஸ் விடுமுறைக்காக பள்ளி மூடப்பட்டுள்ளது
You work too hard,நீங்கள் மிகவும் கடினமாக உழைக்கிறீர்கள்
As was expected he succeeded in winning the prize,எதிர்பார்த்தது போலவே அவர் பரிசு வென்றார்
You like balls,நீங்கள் பந்துகளை விரும்புகிறீர்கள்
The basin of a river usually has rich farmland,ஒரு நதியின் படுகை பொதுவாக வளமான விவசாய நிலங்களைக் கொண்டுள்ளது
Technically he is still a student,தொழில்நுட்ப ரீதியாக அவர் இன்னும் ஒரு மாணவர்
Hes got a face like a month of wet Sundays,ஒரு மாதம் ஈரமான ஞாயிற்றுக்கிழமைகளைப் போன்ற முகம் அவருக்கு இருக்கிறது
If you say that you cannot help doing something you mean you cannot prevent or avoid it,நீங்கள் ஒரு செயலைச் செய்ய உதவ முடியாது என்று சொன்னால் அதைத் தடுக்கவோ தவிர்க்கவோ முடியாது என்று அர்த்தம்
I will get even with you someday Remember that,நான் ஒரு நாள் உன்னுடன் கூட வருவேன் என்பதை நினைவில் கொள்ளுங்கள்
To write a love letter in English is not easy,ஆங்கிலத்தில் காதல் கடிதம் எழுதுவது எளிதல்ல
I was caught in a shower on my way home from school,பள்ளியிலிருந்து வீட்டிற்கு வரும் வழியில் நான் மழையில் சிக்கினேன்
I will show you how to solve it,அதை எவ்வாறு தீர்ப்பது என்பதை நான் உங்களுக்குக் காண்பிப்பேன்
Keep in mind that theres no royal road to anything,எதற்கும் அரச சாலை இல்லை என்பதை நினைவில் கொள்ளுங்கள்
No one was to be seen in the street,தெருவில் யாரும் தென்படவில்லை
Sometimes everything goes wrong,சில நேரங்களில் எல்லாம் தவறாகிவிடும்
I dont know exactly where Kyoko lives but its in the direction of Sannomiya,கியோகோ எங்கு வசிக்கிறார் என்று எனக்குத் தெரியவில்லை ஆனால் அது சன்னோமியாவின் திசையில் உள்ளது
You are to do it at once,நீங்கள் அதை ஒரே நேரத்தில் செய்ய வேண்டும்
Ill work that into my tight schedule,எனது இறுக்கமான அட்டவணையில் அதைச் செய்வேன்
Your English is perfect,உங்கள் ஆங்கிலம் சரியானது
Even though I felt that there was something strange I just didnt know what it was,ஏதோ விசித்திரம் இருப்பதாக உணர்ந்தாலும் அது என்னவென்று எனக்குத் தெரியவில்லை
Its no use your saying anything,நீங்கள் எதுவும் சொல்லி பயனில்லை
Lets take the utmost caution against errors,தவறுகளுக்கு எதிராக மிகுந்த எச்சரிக்கையுடன் செயல்படுவோம்
Im not convinced at all,நான் நம்பவே இல்லை
Science has made remarkable progress,அறிவியல் குறிப்பிடத்தக்க முன்னேற்றம் அடைந்துள்ளது
We were not prepared for the assault,நாங்கள் தாக்குதலுக்கு தயாராக இல்லை
What do you mean,நீங்கள் என்ன சொல்கிறீர்கள்
Are you going to attend the meeting,கூட்டத்தில் கலந்து கொள்ளப் போகிறீர்களா
The concert will take place next Sunday,வரும் ஞாயிற்றுக்கிழமை இசை நிகழ்ச்சி நடைபெறும்
What a big mistake you made in your English composition,உங்கள் ஆங்கில இசையமைப்பில் நீங்கள் எவ்வளவு பெரிய தவறு செய்தீர்கள்
I order you to turn right,வலதுபுறம் திரும்பும்படி நான் கட்டளையிடுகிறேன்
You should talk to the teacher yourself,ஆசிரியரிடம் நீங்களே பேச வேண்டும்
